"('The Great Train Robbery',)","('1903',)","('TV-G',)","('11 min',)","(['Short', 'Action', 'Crime'],)","('7.3',)","('A group of bandits stage a brazen train hold-up, only to find a determined posse hot on their heels.',)","('Edwin S. Porter',)","([""Gilbert M. 'Broncho Billy' Anderson"", 'A.C. Abadie', 'George Barnes', 'Justus D. Barnes'],)","17,673"
"('Night and Fog',)","('1956',)","('Not Rated',)","('32 min',)","(['Documentary', 'Short', 'History'],)","('8.6',)","(""The history of Nazi Germany's death camps of the Final Solution and the hellish world of dehumanization and death contained inside."",)","('Alain Resnais',)","(['Michel Bouquet', 'Reinhard Heydrich', 'Heinrich Himmler', 'Adolf Hitler'],)","17,528"
"('Day & Night',)","('2010',)","('G',)","('6 min',)","(['Animation', 'Short', 'Comedy'],)","('8.0',)","('Day encounters Night, a stranger of distinctly darker moods. But their suspicions soon turn to curiosity, and they are delighted to find the joys of their budding friendship.',)","('Teddy Newton',)",,"17,403"
"('The Red Balloon',)","('1956',)","('Not Rated',)","('34 min',)","(['Short', 'Comedy', 'Drama'],)","('8.2',)","('A red balloon with a mind of its own follows a little boy around the streets of Paris.',)","('Albert Lamorisse',)","(['Pascal Lamorisse', 'Sabine Lamorisse', 'Georges Sellier', 'Vladimir Popov'],)","17,027"
"('Doodlebug',)","('1997',)","('Not Rated',)","('3 min',)","(['Short', 'Action', 'Fantasy'],)","('7.1',)","('In his squalid apartment, a man tries to squash with his shoe an insect of some kind that is moving around the room.',)","('Christopher Nolan',)",,"16,781"
"('Tangled Ever After',)","('2012',)","('G',)","('6 min',)","(['Animation', 'Short', 'Action'],)","('7.6',)","('Rapunzel and Flynn Rider have their wedding, but Pascal and Maximus must recover the rings they lose in mid-ceremony.',)",,"(['Mandy Moore', 'Zachary Levi', 'Alan Dale', 'Paul F. Tompkins'],)","16,420"
"('A Matter of Loaf and Death',)","('2008',)","('TV-PG',)","('30 min',)","(['Animation', 'Short', 'Comedy'],)","('7.6',)","('Wallace and his dog, Gromit, open a bakery and get tied up with a murder mystery. But when Wallace falls in love, Gromit is left to solve the case.',)","('Nick Park',)","(['Peter Sallis', 'Sally Lindsay', 'Melissa Collier', 'Sarah Laborde'],)","15,648"
"('Lava',)","('2014',)","('G',)","('7 min',)","(['Animation', 'Short', 'Family'],)","('7.3',)","('A story that takes place over millions of years and is inspired by the beauty of tropical islands and the allure of ocean volcanoes.',)","('James Ford Murphy',)","(['Napua Greig', 'Kuana Torres Kahele'],)","15,527"
"('One Man Band',)","('2005',)","('G',)","('4 min',)","(['Animation', 'Short', 'Comedy'],)","('7.7',)","(""Two buskers engage in a petty feud over a child's donation."",)",,,"15,073"
"('Frozen Fever',)","('2015',)","('G',)","('8 min',)","(['Animation', 'Short', 'Adventure'],)","('6.9',)","(""On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk."",)",,"(['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad'],)","14,665"
"('Blackadder Back & Forth',)","('1999',)",,"('33 min',)","(['Short', 'Comedy', 'History'],)","('7.7',)","('At a New Millennium Eve party, Blackadder and Baldrick test their new time machine and ping pong through history encountering famous characters and changing events rather alarmingly.',)","('Paul Weiland',)","(['Rowan Atkinson', 'Tony Robinson', 'Stephen Fry', 'Hugh Laurie'],)","14,474"
"('La Luna',)","('2011',)","('G',)","('7 min',)","(['Animation', 'Short', 'Drama'],)","('8.0',)","(""A fable of a young boy coming of age in the most peculiar of circumstances. It's the first time his Papa and Grandpa are taking him to work. Will he be able to find his own way?"",)","('Enrico Casarosa',)","(['Tony Fucile', 'Krista Sheffler', 'Phil Sheridan'],)","13,888"
